	total count	max temp	mean temp	min temp	snow on grnd (cm)	total precip (mm)	total rain (mm)	total snow (cm)	class	day	month	year
6051	651	26.5	19.0	11.5	0.0	5.4	5.4	0.0	less than 2000	14	7	2017
6002	1015	25.4	18.0	10.6	0.0	0.0	0.0	0.0	less than 2000	20	6	2014
22355	418	26.0	21.3	16.5	0.0	0.0	0.0	0.0	less than 2000	2	7	2017
6260	1470	28.0	20.3	12.5	0.0	0.0	0.0	0.0	less than 2000	6	7	2016
22731	1515	3.5	1.3	-1.0	0.0	4.6	0.6	4.0	less than 2000	21	1	2016
4137	358	15.0	9.8	4.5	0.0	0.0	0.0	0.0	less than 2000	12	12	2018
14343	136	9.7	2.4	-5.0	16.0	0.0	0.0	0.0	less than 2000	18	10	2016
1470	1962	23.5	20.4	17.2	0.0	0.4	0.4	0.0	less than 2000	21	8	2017
7697	19	-5.0	-9.8	-14.5	21.0	1.5	0.0	2.0	less than 2000	4	10	2015
19071	497	22.5	17.8	13.0	0.0	0.0	0.0	0.0	less than 2000	21	6	2017
19007	2877	27.5	20.5	13.5	0.0	0.0	0.0	0.0	2000 to 10000	25	1	2016
4434	206	6.0	0.4	-5.2	0.0	0.0	0.0	0.0	less than 2000	17	3	2013
22788	689	13.0	7.8	2.5	0.0	6.2	6.2	0.0	less than 2000	7	9	2015
10797	0	-14.4	-17.1	-19.7	28.0	0.5	0.0	1.3	less than 2000	6	8	2013
5378	1735	12.1	7.0	1.8	0.0	3.5	3.5	0.0	less than 2000	21	2	2017
14310	0	6.3	3.6	0.9	31.0	0.0	0.0	0.0	less than 2000	19	1	2010
10641	60	-12.0	-12.9	-13.8	10.0	0.0	0.0	0.0	less than 2000	22	7	2010
679	793	12.4	10.8	9.1	0.0	26.3	26.3	0.0	less than 2000	17	2	2016
3612	1553	29.1	22.8	16.5	0.0	0.0	0.0	0.0	less than 2000	31	10	2017
12840	1252	14.6	9.2	3.7	0.0	0.0	0.0	0.0	less than 2000	9	7	2014
18786	772	14.5	8.5	2.5	0.0	0.0	0.0	0.0	less than 2000	23	6	2014
10997	12	-1.7	-11.2	-20.6	31.0	5.1	0.0	5.1	less than 2000	23	6	2015
7884	18	-4.0	-11.4	-18.7	41.0	0.5	0.0	1.5	less than 2000	27	4	2014
6931	313	5.5	2.7	-0.1	0.0	0.8	0.8	0.0	less than 2000	6	3	2018
7188	841	4.1	-1.2	-6.5	0.0	1.2	1.2	0.0	less than 2000	17	2	2017
4736	29	-0.3	-3.3	-6.2	25.0	0.0	0.0	0.0	less than 2000	4	10	2014
21637	2661	29.5	21.0	12.5	0.0	0.0	0.0	0.0	2000 to 10000	16	3	2012
21400	230	16.0	9.0	2.0	0.0	16.0	16.0	0.0	less than 2000	23	11	2017
15053	2154	29.0	18.8	8.5	0.0	1.2	1.2	0.0	2000 to 10000	17	7	2017
11572	2044	14.2	11.6	8.9	0.0	3.9	3.9	0.0	2000 to 10000	21	1	2015
5798	260	24.5	19.5	14.5	0.0	0.0	0.0	0.0	less than 2000	29	1	2012
18531	260	9.5	4.5	-0.5	0.0	0.0	0.0	0.0	less than 2000	20	2	2010
17739	1662	-0.5	-3.3	-6.0	66.0	2.0	0.0	3.0	less than 2000	1	12	2016
8967	2123	30.0	25.7	21.4	0.0	0.0	0.0	0.0	2000 to 10000	14	3	2016
2584	60	5.8	-3.1	-12.0	22.0	4.1	4.1	0.0	less than 2000	23	1	2016
12019	358	24.2	18.6	12.9	0.0	3.0	3.0	0.0	less than 2000	24	7	2013
13284	215	7.1	2.3	-2.5	0.0	0.0	0.0	0.0	less than 2000	1	4	2018
16315	1628	20.5	14.0	7.5	0.0	0.0	0.0	0.0	less than 2000	24	11	2012
10396	36	0.4	-0.4	-1.1	7.0	6.0	6.0	0.0	less than 2000	22	6	2011
17376	0	-0.5	-1.8	-3.0	20.0	0.0	0.0	0.0	less than 2000	14	11	2012
5903	627	24.7	19.1	13.4	0.0	0.0	0.0	0.0	less than 2000	27	5	2017
18378	20	1.0	-2.8	-6.5	20.0	2.0	2.0	0.0	less than 2000	8	8	2018
18285	2442	5.0	-2.3	-9.5	16.0	1.4	1.4	0.0	2000 to 10000	27	11	2015
9333	1975	29.5	21.5	13.5	0.0	0.0	0.0	0.0	less than 2000	21	4	2014
1996	290	15.2	13.1	11.0	0.0	11.6	11.6	0.0	less than 2000	11	10	2013
14877	744	19.5	14.5	9.5	0.0	0.0	0.0	0.0	less than 2000	2	2	2010
12681	1594	19.3	16.0	12.7	0.0	16.7	16.7	0.0	less than 2000	16	9	2016
17904	12	4.0	2.0	0.0	25.0	12.0	12.0	0.0	less than 2000	20	12	2014
16675	404	9.0	6.0	3.0	0.0	7.0	7.0	0.0	less than 2000	1	6	2015
17286	1876	0.5	-2.0	-4.5	24.0	0.2	0.2	0.0	less than 2000	29	12	2016
13708	16	1.3	-8.2	-17.7	17.0	0.0	0.0	0.0	less than 2000	21	11	2012
15052	2538	29.0	18.8	8.5	0.0	1.2	1.2	0.0	2000 to 10000	27	2	2017
3713	2100	29.7	19.9	10.1	0.0	0.0	0.0	0.0	2000 to 10000	22	5	2015
9868	340	10.9	7.0	3.0	0.0	0.8	0.8	0.0	less than 2000	23	9	2018
5489	796	15.0	7.1	-0.9	0.0	0.0	0.0	0.0	less than 2000	27	1	2017
21045	1	2.0	-1.3	-4.5	12.0	0.4	0.0	1.0	less than 2000	10	10	2014
8896	2601	25.5	19.0	12.5	0.0	0.0	0.0	0.0	2000 to 10000	8	3	2014
2449	49	-16.7	-18.2	-19.6	8.0	0.0	0.0	0.0	less than 2000	27	9	2016
18734	524	15.5	8.3	1.0	0.0	11.8	11.8	0.0	less than 2000	13	8	2015
5586	2033	25.0	19.1	13.2	0.0	1.6	1.6	0.0	2000 to 10000	3	2	2012
4874	46	-9.6	-11.6	-13.6	20.0	0.0	0.0	0.0	less than 2000	18	10	2016
45	0	-4.0	-4.8	-5.5	17.0	0.0	0.0	0.0	less than 2000	13	10	2015
15273	1883	29.5	20.3	11.0	0.0	0.0	0.0	0.0	less than 2000	9	8	2016
12080	1060	28.3	21.7	15.1	0.0	0.0	0.0	0.0	less than 2000	10	11	2012
1347	2066	24.3	17.7	11.0	0.0	0.0	0.0	0.0	2000 to 10000	30	4	2017
3416	479	16.9	14.1	11.2	0.0	0.0	0.0	0.0	less than 2000	5	5	2013
15399	2246	29.0	21.0	13.0	0.0	0.0	0.0	0.0	2000 to 10000	11	4	2016
12608	1839	28.5	20.5	12.5	0.0	0.0	0.0	0.0	less than 2000	28	7	2013
14381	1	7.0	4.8	2.5	3.0	9.4	9.4	0.0	less than 2000	6	9	2011
12333	996	23.5	18.6	13.6	0.0	0.0	0.0	0.0	less than 2000	19	2	2016
16837	683	-5.5	-7.5	-9.5	3.0	0.0	0.0	0.0	less than 2000	4	10	2018
14789	528	9.0	4.5	0.0	0.0	0.0	0.0	0.0	less than 2000	12	12	2016
8537	2255	21.3	15.9	10.4	0.0	0.4	0.4	0.0	2000 to 10000	12	1	2017
333	1533	25.2	14.9	4.6	0.0	0.0	0.0	0.0	less than 2000	12	7	2018
14899	125	9.0	5.8	2.5	0.0	0.0	0.0	0.0	less than 2000	12	4	2016
21603	2605	27.5	21.8	16.0	0.0	4.8	4.8	0.0	2000 to 10000	25	5	2015
10095	968	3.5	2.3	1.0	0.0	0.0	0.0	0.0	less than 2000	19	2	2017
12849	1224	14.6	9.2	3.7	0.0	0.0	0.0	0.0	less than 2000	23	2	2013
16401	301	19.5	13.8	8.0	0.0	7.2	7.2	0.0	less than 2000	22	3	2015
10069	188	14.4	7.7	0.9	0.0	6.2	6.2	0.0	less than 2000	15	9	2018
17929	0	2.5	-2.3	-7.0	20.0	0.0	0.0	0.0	less than 2000	21	3	2017
17831	0	2.5	-1.8	-6.0	40.0	0.0	0.0	0.0	less than 2000	9	7	2012
21395	590	16.0	9.0	2.0	0.0	16.0	16.0	0.0	less than 2000	20	7	2013
1497	801	27.8	23.9	19.9	0.0	0.0	0.0	0.0	less than 2000	29	6	2017
11400	387	9.6	7.0	4.3	0.0	21.0	21.0	0.0	less than 2000	26	8	2015
2656	15	-1.3	-7.5	-13.7	26.0	0.2	0.0	0.3	less than 2000	28	1	2012
21209	200	3.0	0.3	-2.5	0.0	0.0	0.0	0.0	less than 2000	12	4	2017
4309	976	15.4	11.5	7.6	0.0	0.0	0.0	0.0	less than 2000	31	3	2016
16129	2277	18.0	11.3	4.5	0.0	0.0	0.0	0.0	2000 to 10000	25	12	2014
1028	0	0.7	-3.0	-6.6	9.0	10.0	0.0	10.0	less than 2000	22	3	2010
5486	566	11.4	6.7	1.9	0.0	0.0	0.0	0.0	less than 2000	9	9	2016
9745	1611	24.0	15.6	7.2	0.0	0.0	0.0	0.0	less than 2000	4	3	2018
15433	2135	29.5	22.3	15.0	0.0	0.0	0.0	0.0	2000 to 10000	18	9	2013
8865	1683	23.1	17.9	12.6	0.0	0.0	0.0	0.0	less than 2000	1	3	2013
1604	575	30.4	23.5	16.5	0.0	0.0	0.0	0.0	less than 2000	25	7	2011
776	791	12.0	3.8	-4.4	0.0	0.0	0.0	0.0	less than 2000	16	2	2013
11919	1195	27.2	20.2	13.1	0.0	10.8	10.8	0.0	less than 2000	14	3	2015
21321	392	3.0	1.8	0.5	0.0	1.0	1.0	0.0	less than 2000	28	10	2015
10811	0	-11.5	-13.3	-15.0	25.0	2.0	0.0	2.5	less than 2000	5	9	2017
10681	1	-7.4	-14.1	-20.8	10.0	0.0	0.0	0.0	less than 2000	7	5	2016
23017	455	1.0	-4.0	-9.0	2.0	6.8	4.4	3.0	less than 2000	9	10	2013
565	2478	22.5	16.5	10.4	0.0	0.0	0.0	0.0	2000 to 10000	14	9	2015
20963	47	7.5	1.8	-4.0	12.0	3.0	3.0	0.0	less than 2000	28	7	2016
16421	1781	24.0	16.0	8.0	0.0	0.0	0.0	0.0	less than 2000	13	4	2015
3122	374	11.6	4.6	-2.4	0.0	0.0	0.0	0.0	less than 2000	29	7	2012
18173	124	-8.5	-12.5	-16.5	11.0	0.0	0.0	0.0	less than 2000	14	8	2016
2845	53	4.8	-0.5	-5.8	28.0	3.1	3.1	0.0	less than 2000	11	8	2014
11508	1286	25.7	17.9	10.0	0.0	0.0	0.0	0.0	less than 2000	4	12	2018
8946	2204	29.0	20.7	12.3	0.0	0.0	0.0	0.0	2000 to 10000	5	10	2016
16523	466	4.5	2.5	0.5	0.0	0.0	0.0	0.0	less than 2000	11	12	2010
14062	62	-4.3	-12.9	-21.4	10.0	0.8	0.0	1.0	less than 2000	12	12	2014
20962	0	7.5	1.8	-4.0	12.0	3.0	3.0	0.0	less than 2000	1	10	2015
2774	1	2.0	-5.6	-13.2	18.0	0.0	0.0	0.0	less than 2000	15	7	2015
5185	137	5.5	2.9	0.2	34.0	0.0	0.0	0.0	less than 2000	15	4	2014
563	1865	26.7	19.0	11.2	0.0	5.0	5.0	0.0	less than 2000	21	6	2018
7997	228	1.0	-9.6	-20.2	41.0	0.0	0.0	0.0	less than 2000	18	3	2011
11630	1428	24.6	17.3	10.0	0.0	0.0	0.0	0.0	less than 2000	19	8	2017
911	5	-4.8	-7.2	-9.5	2.0	2.3	0.0	2.5	less than 2000	24	2	2016
21066	38	2.0	-1.5	-5.0	6.0	5.0	0.0	3.0	less than 2000	2	7	2013
6729	1442	19.5	16.0	12.5	0.0	0.0	0.0	0.0	less than 2000	19	9	2012
9677	1858	18.6	12.2	5.7	0.0	8.0	8.0	0.0	less than 2000	13	11	2014
18950	1830	22.0	17.0	12.0	0.0	0.8	0.8	0.0	less than 2000	14	7	2018
13024	1813	16.1	10.1	4.0	0.0	0.0	0.0	0.0	less than 2000	23	2	2017
5412	283	20.0	15.6	11.2	0.0	0.0	0.0	0.0	less than 2000	12	8	2014
18264	2	0.0	-7.3	-14.5	20.0	0.0	0.0	0.0	less than 2000	24	8	2014
