	total count	max temp	mean temp	min temp	snow on grnd (cm)	total precip (mm)	total rain (mm)	total snow (cm)	class	day	month	year
6913	625	6.1	2.1	-1.9	0.0	0.0	0.0	0.0	less than 2000	20	8	2017
16303	1912	20.0	14.0	8.0	0.0	0.0	0.0	0.0	less than 2000	8	4	2017
20861	15	-4.0	-7.3	-10.5	32.0	0.0	0.0	0.0	less than 2000	22	6	2015
21547	2515	18.0	15.5	13.0	0.0	0.0	0.0	0.0	2000 to 10000	27	5	2017
13067	110	12.2	4.3	-3.6	0.0	0.0	0.0	0.0	less than 2000	9	10	2013
14835	628	10.0	8.5	7.0	0.0	3.0	3.0	0.0	less than 2000	1	3	2017
4704	0	3.4	1.1	-1.2	39.0	0.0	0.0	0.0	less than 2000	2	11	2016
16072	1184	26.5	23.0	19.5	0.0	0.0	0.0	0.0	less than 2000	20	10	2016
18366	56	4.5	-0.5	-5.5	22.0	0.0	0.0	0.0	less than 2000	22	10	2015
6752	412	23.0	16.0	9.0	0.0	22.3	22.3	0.0	less than 2000	21	2	2017
11093	32	2.0	0.0	-2.0	31.0	0.0	0.0	0.0	less than 2000	7	2	2013
19445	2246	30.0	24.3	18.5	0.0	0.0	0.0	0.0	2000 to 10000	25	10	2013
7607	1	3.0	1.5	0.0	26.0	0.6	0.6	0.0	less than 2000	14	4	2012
8035	6	-4.3	-7.3	-10.2	37.0	6.2	0.0	8.1	less than 2000	4	3	2014
20615	424	-1.0	-3.0	-5.0	33.0	0.0	0.0	0.0	less than 2000	9	1	2010
7723	2	-10.5	-17.1	-23.6	24.0	0.0	0.0	0.0	less than 2000	2	8	2016
14110	0	0.1	-5.6	-11.2	40.0	0.4	0.0	0.4	less than 2000	6	3	2018
22097	1507	27.0	24.3	21.5	0.0	1.0	1.0	0.0	less than 2000	18	9	2014
11420	426	7.2	3.8	0.4	0.0	0.0	0.0	0.0	less than 2000	4	7	2016
21438	1749	17.0	14.3	11.5	0.0	2.8	2.8	0.0	less than 2000	6	5	2016
12532	1819	22.3	18.0	13.7	0.0	0.0	0.0	0.0	less than 2000	20	3	2012
172	0	7.2	4.1	0.9	0.0	0.0	0.0	0.0	less than 2000	20	12	2016
20085	1557	22.0	13.8	5.5	0.0	0.0	0.0	0.0	less than 2000	4	7	2010
15727	1099	33.5	25.8	18.0	0.0	0.0	0.0	0.0	less than 2000	8	2	2016
22660	1585	7.5	3.0	-1.5	0.0	0.0	0.0	0.0	less than 2000	22	10	2011
12598	934	28.8	23.3	17.8	0.0	0.2	0.2	0.0	less than 2000	8	6	2014
22420	1724								less than 2000	15	12	2016
16934	281	4.0	-1.0	-6.0	19.0	4.4	0.0	6.0	less than 2000	11	10	2012
17866	10	5.0	2.0	-1.0	39.0	0.0	0.0	0.0	less than 2000	29	8	2016
14282	26	1.0	-9.2	-19.4	34.0	0.0	0.0	0.0	less than 2000	27	12	2016
14420	500	1.2	-3.5	-8.2	0.0	0.0	0.0	0.0	less than 2000	1	11	2012
1740	1312	26.2	19.3	12.3	0.0	1.8	1.8	0.0	less than 2000	23	1	2013
10662	5	-4.2	-6.4	-8.6	10.0	0.0	0.0	0.0	less than 2000	20	9	2011
3390	1335	17.9	14.1	10.3	0.0	0.0	0.0	0.0	less than 2000	11	4	2012
22988	1	-7.0	-8.5	-10.0	4.0	0.6	0.0	1.0	less than 2000	14	12	2014
19421	2160	29.0	20.3	11.5	0.0	0.0	0.0	0.0	2000 to 10000	9	11	2013
10643	79	-10.0	-17.5	-25.0	8.0	0.0	0.0	0.0	less than 2000	2	6	2013
20891	132								less than 2000	12	12	2015
20452	157	0.5	-1.5	-3.5	0.0	0.0	0.0	0.0	less than 2000	26	7	2015
12157	1717	23.8	16.6	9.4	0.0	0.0	0.0	0.0	less than 2000	26	11	2012
19603	1101	26.0	22.5	19.0	0.0	17.6	17.6	0.0	less than 2000	14	11	2015
10307	107	-6.9	-7.6	-8.2	1.0	0.0	0.0	0.0	less than 2000	1	1	2012
11148	42	-8.0	-11.8	-15.6	26.0	0.0	0.0	0.0	less than 2000	12	8	2012
5088	45	5.1	3.6	2.0	37.0	0.0	0.0	0.0	less than 2000	27	11	2015
15490	1476	21.5	18.0	14.5	0.0	0.0	0.0	0.0	less than 2000	20	5	2014
7217	455	-7.0	-9.5	-12.0	2.0	0.0	0.0	0.0	less than 2000	16	12	2014
2863	75	-9.4	-13.2	-17.0	24.0	0.0	0.0	0.0	less than 2000	7	1	2013
11311	422	12.9	7.6	2.3	0.0	4.3	4.3	0.0	less than 2000	30	7	2013
8823	300	17.5	14.5	11.5	0.0	0.0	0.0	0.0	less than 2000	17	3	2017
22530	2070	16.5	13.0	9.5	0.0	0.4	0.4	0.0	2000 to 10000	15	10	2015
5533	3466	22.0	17.8	13.5	0.0	4.7	4.7	0.0	2000 to 10000	30	1	2017
2549	1	-10.5	-12.2	-13.8	22.0	0.0	0.0	0.0	less than 2000	17	7	2018
12460	1756	29.5	24.3	19.0	0.0	0.0	0.0	0.0	less than 2000	11	3	2017
15664	2182	25.0	20.5	16.0	0.0	0.0	0.0	0.0	2000 to 10000	31	7	2010
15604	744	32.5	27.8	23.0	0.0	0.0	0.0	0.0	less than 2000	8	1	2016
19587	1698	26.0	21.0	16.0	0.0	0.0	0.0	0.0	less than 2000	1	10	2013
5886	2188	29.2	25.5	21.8	0.0	2.7	2.7	0.0	2000 to 10000	25	5	2016
18654	1146	11.0	5.5	0.0	0.0	0.0	0.0	0.0	less than 2000	31	5	2018
19455	1006	26.0	21.5	17.0	0.0	5.8	5.8	0.0	less than 2000	18	11	2014
19198	1645	23.5	20.0	16.5	0.0	23.2	23.2	0.0	less than 2000	31	3	2017
19910	1442	15.0	10.0	5.0	0.0	0.0	0.0	0.0	less than 2000	3	9	2017
17321	1854	2.0	1.3	0.5	23.0	0.3	0.3	0.0	less than 2000	11	12	2016
5100	148	-6.7	-9.0	-11.3	34.0	0.0	0.0	0.0	less than 2000	21	8	2017
5162	71	3.7	1.4	-1.0	43.0	0.0	0.0	0.0	less than 2000	12	7	2011
17463	1412	-2.0	-4.0	-6.0	23.0	0.2	0.0	0.4	less than 2000	1	7	2014
12862	2077	13.7	9.0	4.2	0.0	0.0	0.0	0.0	2000 to 10000	23	9	2015
10386	0	1.4	-1.4	-4.2	9.0	0.0	0.0	0.0	less than 2000	15	1	2010
13057	363	7.8	2.9	-2.0	0.0	0.0	0.0	0.0	less than 2000	13	6	2015
3483	1144	23.5	16.8	10.0	0.0	0.0	0.0	0.0	less than 2000	23	11	2015
6007	299	29.3	22.9	16.4	0.0	7.7	7.7	0.0	less than 2000	26	8	2013
8930	791	24.1	21.3	18.5	0.0	0.0	0.0	0.0	less than 2000	24	6	2018
16673	345	9.0	6.0	3.0	0.0	7.0	7.0	0.0	less than 2000	18	4	2016
9111	932	23.1	18.4	13.7	0.0	0.0	0.0	0.0	less than 2000	4	3	2017
3236	1415	20.0	12.2	4.4	0.0	0.0	0.0	0.0	less than 2000	25	9	2018
514	0	21.4	17.2	13.0	0.0	0.0	0.0	0.0	less than 2000	10	2	2014
19175	1122	17.5	16.0	14.5	0.0	25.4	25.4	0.0	less than 2000	29	3	2017
4474	344	5.8	0.7	-4.5	0.0	0.0	0.0	0.0	less than 2000	14	2	2017
19300	2597	27.5	22.5	17.5	0.0	0.0	0.0	0.0	2000 to 10000	14	9	2013
7486	73	-9.0	-13.5	-18.0	35.0	1.6	0.0	2.4	less than 2000	9	7	2013
22266	610	25.5	18.8	12.0	0.0	0.0	0.0	0.0	less than 2000	11	2	2018
261	1375	17.4	10.9	4.4	0.0	0.0	0.0	0.0	less than 2000	21	11	2018
16320	2031	22.5	14.3	6.0	0.0	0.0	0.0	0.0	2000 to 10000	24	7	2011
12939	267	23.6	15.8	8.0	0.0	2.7	2.7	0.0	less than 2000	29	12	2014
7363	90	-6.3	-9.6	-12.8	5.0	0.0	0.0	0.0	less than 2000	2	12	2015
21545	2071	18.0	15.5	13.0	0.0	0.0	0.0	0.0	2000 to 10000	23	12	2017
13076	379	13.4	7.0	0.5	0.0	32.4	32.4	0.0	less than 2000	17	1	2015
19463	649	28.0	23.0	18.0	0.0	1.6	1.6	0.0	less than 2000	4	9	2013
1918	598	25.2	21.3	17.4	0.0	2.7	2.7	0.0	less than 2000	7	8	2013
17483	146	-10.5	-13.5	-16.5	23.0	0.0	0.0	0.0	less than 2000	4	10	2014
18987	1244	16.0	14.8	13.5	0.0	16.4	16.4	0.0	less than 2000	26	12	2014
19847	2797	26.0	20.0	14.0	0.0	0.0	0.0	0.0	2000 to 10000	16	6	2016
2253	609	6.8	5.7	4.5	0.0	2.8	2.8	0.0	less than 2000	4	8	2014
18358	110	1.0	-1.5	-4.0	17.0	12.6	6.0	7.0	less than 2000	16	1	2013
13095	276	7.9	5.2	2.4	0.0	0.0	0.0	0.0	less than 2000	8	4	2014
7873	74	-8.3	-14.3	-20.2	41.0	1.0	0.0	1.5	less than 2000	20	2	2018
18835	728	21.0	14.5	8.0	0.0	0.0	0.0	0.0	less than 2000	9	10	2011
18034	18	-6.0	-13.3	-20.5	17.0	0.0	0.0	0.0	less than 2000	10	5	2015
6388	689	24.5	20.8	17.0	0.0	0.0	0.0	0.0	less than 2000	29	4	2015
9825	1509	14.1	8.8	3.5	0.0	0.0	0.0	0.0	less than 2000	21	4	2014
19446	1908	30.0	24.3	18.5	0.0	0.0	0.0	0.0	less than 2000	28	6	2016
7583	1	-9.5	-13.0	-16.4	29.0	0.0	0.0	0.0	less than 2000	27	5	2014
17039	24	0.0	-6.8	-13.5	23.0	2.6	1.6	1.0	less than 2000	23	12	2015
14035	212	-3.4	-5.7	-7.9	9.0	1.2	0.0	1.2	less than 2000	22	7	2017
17313	0	2.0	0.0	-2.0	26.0	0.0	0.0	0.0	less than 2000	8	6	2014
21397	885	16.0	9.0	2.0	0.0	16.0	16.0	0.0	less than 2000	2	4	2011
3455	423	24.2	17.5	10.7	0.0	0.0	0.0	0.0	less than 2000	8	12	2011
6976	458	6.8	1.7	-3.5	0.0	0.0	0.0	0.0	less than 2000	17	9	2015
14213	543	-3.5	-6.2	-8.8	26.0	4.0	3.0	1.2	less than 2000	15	8	2014
3039	824	8.7	4.2	-0.3	0.0	0.0	0.0	0.0	less than 2000	23	1	2018
17322	1854	2.0	1.3	0.5	23.0	0.3	0.3	0.0	less than 2000	20	4	2018
20498	20	-8.0	-12.3	-16.5	12.0	0.0	0.0	0.0	less than 2000	21	11	2013
6211	273	23.0	19.0	15.0	0.0	4.0	4.0	0.0	less than 2000	28	7	2012
22655	1498	8.5	5.8	3.0	0.0	0.0	0.0	0.0	less than 2000	10	8	2011
15767	1219	30.0	21.3	12.5	0.0	0.0	0.0	0.0	less than 2000	28	1	2017
220	696	18.8	11.1	3.4	0.0	0.0	0.0	0.0	less than 2000	26	5	2010
3992	917	27.5	22.0	16.4	0.0	2.1	2.1	0.0	less than 2000	15	5	2017
7862	3	-4.0	-9.8	-15.5	44.0	0.0	0.0	0.0	less than 2000	8	9	2010
7567	55	5.8	-1.2	-8.2	31.0	0.0	0.0	0.0	less than 2000	21	3	2015
17384	22	-1.0	-2.0	-3.0	20.0	6.0	1.8	4.2	less than 2000	22	8	2013
6259	606	28.0	20.3	12.5	0.0	0.0	0.0	0.0	less than 2000	8	6	2018
17836	392	2.0	-4.8	-11.5	0.0	1.4	1.4	0.0	less than 2000	1	7	2010
2349	165	10.9	5.7	0.5	0.0	2.9	2.9	0.0	less than 2000	9	12	2016
19924	398	14.5	11.0	7.5	0.0	0.0	0.0	0.0	less than 2000	25	12	2014
11787	2056	25.6	17.0	8.4	0.0	0.0	0.0	0.0	2000 to 10000	21	8	2011
16267	1574	18.5	14.5	10.5	0.0	0.0	0.0	0.0	less than 2000	2	10	2018
20062	2612	21.5	13.8	6.0	0.0	1.4	1.4	0.0	2000 to 10000	20	7	2016
2677	15	0.7	-8.2	-17.0	27.0	0.0	0.0	0.0	less than 2000	9	1	2016
2881	104	10.5	7.7	4.8	14.0	3.4	3.4	0.0	less than 2000	3	8	2016
7157	191	10.2	7.8	5.3	0.0	0.5	0.5	0.0	less than 2000	30	5	2014
14106	538	0.1	-5.6	-11.2	40.0	0.4	0.0	0.4	less than 2000	31	3	2013
18814	899	14.0	11.5	9.0	0.0	2.4	2.4	0.0	less than 2000	20	4	2015
12328	2328	24.8	19.8	14.8	0.0	1.2	1.2	0.0	2000 to 10000	24	8	2017
7947	0	-12.0	-16.6	-21.2	36.0	3.0	0.0	4.5	less than 2000	29	12	2015
1035	30	-6.8	-14.2	-21.6	16.0	0.0	0.0	0.0	less than 2000	14	2	2012
20178	253	14.0	9.3	4.5	0.0	22.8	22.8	0.0	less than 2000	11	11	2013
13056	170	7.8	2.9	-2.0	0.0	0.0	0.0	0.0	less than 2000	19	8	2018
3639	1106	26.0	19.3	12.6	0.0	0.0	0.0	0.0	less than 2000	3	1	2018
13309	220	-1.9	-3.4	-4.8	1.0	0.0	0.0	0.0	less than 2000	20	5	2017
18299	2260	6.5	3.5	0.5	14.0	0.0	0.0	0.0	2000 to 10000	24	6	2016
14301	14	5.8	1.6	-2.7	34.0	0.7	0.7	0.0	less than 2000	15	8	2012
20423	231	4.5	2.0	-0.5	0.0	0.0	0.0	0.0	less than 2000	10	5	2018
21427	328	20.0	10.8	1.5	0.0	0.0	0.0	0.0	less than 2000	19	5	2010
2176	351	18.5	15.0	11.5	0.0	2.2	2.2	0.0	less than 2000	14	12	2014
5956	2354	30.4	25.1	19.8	0.0	1.0	1.0	0.0	2000 to 10000	28	10	2018
22578	902								less than 2000	14	1	2016
17230	54	-7.5	-15.0	-22.5	22.0	0.0	0.0	0.0	less than 2000	8	7	2016
11471	305	20.8	12.9	4.9	0.0	0.0	0.0	0.0	less than 2000	27	1	2016
14406	252	0.1	-4.9	-9.8	0.0	0.0	0.0	0.0	less than 2000	12	6	2012
11513	1867	25.7	17.9	10.0	0.0	0.0	0.0	0.0	less than 2000	16	2	2016
3842	2150	21.7	19.4	17.0	0.0	11.4	11.4	0.0	2000 to 10000	1	2	2017
18078	142	6.5	1.3	-4.0	17.0	10.4	10.4	0.0	less than 2000	21	7	2018
19875	738	31.0	25.0	19.0	0.0	0.0	0.0	0.0	less than 2000	21	5	2012
15239	2003	21.0	15.5	10.0	0.0	0.0	0.0	0.0	2000 to 10000	27	7	2018
19767	1363	22.0	15.0	8.0	0.0	0.0	0.0	0.0	less than 2000	15	10	2010
7366	1	-6.3	-9.6	-12.8	5.0	0.0	0.0	0.0	less than 2000	29	10	2015
12647	591	24.6	23.1	21.5	0.0	0.4	0.4	0.0	less than 2000	24	10	2015
4341	86	20.2	17.3	14.3	0.0	1.0	1.0	0.0	less than 2000	21	9	2016
14290	52	2.8	-5.0	-12.7	34.0	1.0	0.5	0.5	less than 2000	14	7	2015
4447	508	6.1	0.0	-6.1	0.0	0.0	0.0	0.0	less than 2000	11	9	2011
9925	598	19.8	18.2	16.5	0.0	10.0	10.0	0.0	less than 2000	18	4	2018
2088	721	7.1	2.6	-2.0	0.0	0.0	0.0	0.0	less than 2000	2	12	2014
22998	23	-4.0	-10.5	-17.0	5.0	3.0	0.0	2.0	less than 2000	23	4	2013
7847	0	-4.7	-11.8	-18.9	37.0	2.9	0.0	5.8	less than 2000	7	1	2017
10054	285	6.4	2.7	-1.0	0.0	0.0	0.0	0.0	less than 2000	10	4	2015
6081	221	23.8	18.0	12.2	0.0	0.0	0.0	0.0	less than 2000	2	7	2014
15257	2929	27.5	19.5	11.5	0.0	0.0	0.0	0.0	2000 to 10000	16	7	2018
8806	2970	20.2	17.3	14.3	0.0	9.8	9.8	0.0	2000 to 10000	20	4	2016
2111	817	16.5	8.6	0.7	0.0	0.0	0.0	0.0	less than 2000	21	7	2016
1764	1647	30.3	25.8	21.2	0.0	7.2	7.2	0.0	less than 2000	24	5	2017
4936	8	-8.0	-12.3	-16.5	30.0	0.0	0.0	0.0	less than 2000	25	7	2015
7934	0	-10.5	-13.0	-15.4	36.0	0.8	0.0	1.3	less than 2000	10	9	2012
8689	1718	23.3	16.9	10.5	0.0	0.0	0.0	0.0	less than 2000	30	1	2015
11533	607	24.0	14.2	4.4	0.0	0.0	0.0	0.0	less than 2000	29	1	2011
17740	1662	-0.5	-3.3	-6.0	66.0	2.0	0.0	3.0	less than 2000	4	8	2017
7653	73	-2.4	-4.5	-6.5	22.0	0.9	0.0	3.5	less than 2000	25	1	2015
9489	3201	19.5	17.3	15.0	0.0	0.0	0.0	0.0	2000 to 10000	6	12	2015
1149	757	11.2	8.0	4.8	0.0	4.2	4.2	0.0	less than 2000	26	2	2010
15567	2484	23.0	17.8	12.5	0.0	0.0	0.0	0.0	2000 to 10000	17	3	2016
2452	77	-16.7	-18.2	-19.6	8.0	0.0	0.0	0.0	less than 2000	6	6	2016
5948	2914	34.0	28.6	23.1	0.0	0.2	0.2	0.0	2000 to 10000	28	6	2014
4294	173	13.9	10.4	6.8	0.0	0.0	0.0	0.0	less than 2000	21	8	2016
12606	1931	28.5	20.5	12.5	0.0	0.0	0.0	0.0	less than 2000	7	2	2014
14242	636	-7.3	-10.0	-12.6	36.0	0.4	0.0	0.4	less than 2000	17	5	2010
22551	886	14.0	10.3	6.5	0.0	6.6	6.6	0.0	less than 2000	5	3	2012
4888	0	-7.5	-11.3	-15.0	37.0	0.0	0.0	0.0	less than 2000	17	11	2014
20839	71	-6.0	-11.5	-17.0	28.0	1.4	0.0	3.0	less than 2000	14	4	2018
17390	496	-1.0	-2.0	-3.0	20.0	6.0	1.8	4.2	less than 2000	26	4	2017
10671	22	-14.5	-17.7	-20.8	10.0	0.0	0.0	0.0	less than 2000	13	3	2017
21677	1468	15.0	12.8	10.5	0.0	1.8	1.8	0.0	less than 2000	11	1	2014
912	0	-4.9	-6.5	-8.0	3.0	2.8	0.0	5.0	less than 2000	28	9	2015
14238	23	-8.9	-13.3	-17.7	26.0	10.0	0.0	10.0	less than 2000	3	10	2014
11158	30	1.3	-6.9	-15.0	25.0	0.0	0.0	0.0	less than 2000	6	6	2018
22329	2178	27.0	21.0	15.0	0.0	0.0	0.0	0.0	2000 to 10000	27	8	2015
21481	512	23.0	13.3	3.5	0.0	0.0	0.0	0.0	less than 2000	14	6	2011
16282	893	17.5	14.5	11.5	0.0	1.4	1.4	0.0	less than 2000	24	9	2016
6136	490	24.0	15.9	7.8	0.0	0.0	0.0	0.0	less than 2000	30	6	2015
3938	1019	24.9	22.1	19.2	0.0	8.6	8.6	0.0	less than 2000	5	11	2017
3500	1885	27.3	20.8	14.3	0.0	0.0	0.0	0.0	less than 2000	10	3	2017
14009	69	-5.8	-7.5	-9.2	5.0	0.9	0.0	1.0	less than 2000	25	9	2015
3046	712	11.1	4.8	-1.5	0.0	0.0	0.0	0.0	less than 2000	3	6	2013
12530	2415	22.3	18.0	13.7	0.0	0.0	0.0	0.0	2000 to 10000	1	11	2017
7541	10	-20.8	-24.0	-27.1	29.0	0.0	0.0	0.0	less than 2000	1	3	2014
4075	279	25.8	16.8	7.8	0.0	0.5	0.5	0.0	less than 2000	6	10	2014
15646	2318	30.5	23.0	15.5	0.0	8.2	8.2	0.0	2000 to 10000	1	11	2016
9385	357	17.0	15.0	13.0	0.0	8.6	8.6	0.0	less than 2000	19	3	2017
6108	2564	25.2	20.2	15.1	0.0	1.1	1.1	0.0	2000 to 10000	1	11	2017
6863	269	14.3	12.3	10.2	0.0	0.0	0.0	0.0	less than 2000	8	3	2014
8591	727	15.5	10.0	4.5	0.0	0.0	0.0	0.0	less than 2000	20	4	2018
22274	2429	27.5	21.5	15.5	0.0	1.2	1.2	0.0	2000 to 10000	6	7	2016
9529	985	27.5	22.5	17.5	0.0	0.0	0.0	0.0	less than 2000	21	1	2017
997	0	-9.6	-14.4	-19.1	19.0	0.0	0.0	0.0	less than 2000	15	3	2017
17770	138	-2.5	-6.8	-11.0	60.0	0.0	0.0	0.0	less than 2000	9	8	2011
19333	3370	28.0	22.8	17.5	0.0	0.0	0.0	0.0	2000 to 10000	8	9	2012
15933	1007	30.0	25.3	20.5	0.0	2.4	2.4	0.0	less than 2000	13	1	2013
1127	0	9.6	2.2	-5.3	0.0	0.0	0.0	0.0	less than 2000	6	7	2017
6349	843	27.2	23.8	20.4	0.0	0.2	0.2	0.0	less than 2000	18	4	2018
16994	19	-2.5	-6.3	-10.0	14.0	7.6	0.0	9.2	less than 2000	10	8	2014
14948	1131	17.5	12.8	8.0	0.0	0.4	0.4	0.0	less than 2000	10	9	2011
676	1548	15.5	8.7	1.8	0.0	0.0	0.0	0.0	less than 2000	15	1	2018
13592	276	17.1	10.7	4.2	0.0	0.0	0.0	0.0	less than 2000	5	2	2016
10138	703	9.6	6.8	4.0	0.0	0.0	0.0	0.0	less than 2000	24	4	2017
18236	2044	-0.5	-5.5	-10.5	24.0	0.0	0.0	0.0	2000 to 10000	23	10	2012
7767	62	-3.7	-10.1	-16.4	36.0	0.0	0.0	0.0	less than 2000	2	5	2015
531	1640	22.5	15.5	8.5	0.0	0.0	0.0	0.0	less than 2000	11	8	2013
14892	2223	20.0	15.0	10.0	0.0	9.6	9.6	0.0	2000 to 10000	23	11	2015
3548	2408	27.3	20.1	12.8	0.0	5.2	5.2	0.0	2000 to 10000	27	1	2014
11892	3359	26.8	21.1	15.4	0.0	18.2	18.2	0.0	2000 to 10000	6	11	2010
17200	178	4.0	2.8	1.5	26.0	0.4	0.2	0.2	less than 2000	3	12	2018
14524	3	10.5	3.3	-4.0	0.0	14.6	14.6	0.0	less than 2000	8	3	2015
15157	1502	26.5	20.5	14.5	0.0	6.6	6.6	0.0	less than 2000	19	10	2012
20669	0	-5.0	-11.5	-18.0	14.0	0.0	0.0	0.0	less than 2000	19	3	2016
6572	1584	24.9	14.9	4.9	0.0	0.0	0.0	0.0	less than 2000	18	8	2017
1786	1084	18.4	15.6	12.7	0.0	0.0	0.0	0.0	less than 2000	3	4	2016
22423	2334								2000 to 10000	17	12	2016
2658	22	-1.3	-7.5	-13.7	26.0	0.2	0.0	0.3	less than 2000	20	6	2012
771	424	10.4	4.3	-1.8	0.0	0.0	0.0	0.0	less than 2000	26	1	2010
351	1335	29.7	22.7	15.6	0.0	0.0	0.0	0.0	less than 2000	8	6	2016
11924	1032	20.1	15.0	9.9	0.0	0.0	0.0	0.0	less than 2000	6	1	2016
5467	1945	16.8	13.2	9.6	0.0	16.0	16.0	0.0	less than 2000	21	9	2016
11393	1258	13.0	7.1	1.1	0.0	4.0	4.0	0.0	less than 2000	3	3	2017
14694	913	14.5	7.0	-0.5	0.0	0.0	0.0	0.0	less than 2000	27	9	2014
22487	964	16.5	10.3	4.0	0.0	0.0	0.0	0.0	less than 2000	13	9	2016
5090	162	5.1	3.6	2.0	37.0	0.0	0.0	0.0	less than 2000	6	11	2013
10120	125	5.8	3.5	1.1	0.0	0.0	0.0	0.0	less than 2000	19	4	2015
204	388	14.0	5.8	-2.5	0.0	0.0	0.0	0.0	less than 2000	11	9	2013
17627	262	-1.0	-5.5	-10.0	32.0	0.0	0.0	0.0	less than 2000	15	7	2012
18057	570	-1.0	-6.5	-12.0	17.0	0.8	0.0	0.4	less than 2000	31	12	2014
12786	1072	20.8	16.7	12.5	0.0	0.0	0.0	0.0	less than 2000	5	5	2018
21519	2208	22.0	12.5	3.0	0.0	0.0	0.0	0.0	2000 to 10000	10	7	2014
10223	44	4.0	-2.0	-8.0	2.0	2.0	2.0	0.0	less than 2000	31	12	2017
6055	2074	25.7	22.4	19.0	0.0	3.3	3.3	0.0	2000 to 10000	27	3	2013
2138	374	17.5	9.8	2.0	0.0	0.0	0.0	0.0	less than 2000	21	6	2016
21232	175	6.5	3.0	-0.5	2.0	2.0	2.0	0.0	less than 2000	13	6	2015
4041	1611	27.1	18.3	9.4	0.0	0.0	0.0	0.0	less than 2000	29	8	2016
18124	308	-6.5	-7.5	-8.5	13.0	0.0	0.0	0.0	less than 2000	26	12	2018
19642	2475	22.0	15.3	8.5	0.0	0.0	0.0	0.0	2000 to 10000	30	5	2012
5643	2084	14.5	13.0	11.5	0.0	2.7	2.7	0.0	2000 to 10000	13	7	2016
6227	1255	24.4	18.1	11.7	0.0	0.0	0.0	0.0	less than 2000	7	2	2018
5872	662	29.5	24.0	18.4	0.0	0.6	0.6	0.0	less than 2000	24	10	2016
22920	1065	-11.0	-12.0	-13.0	5.0	0.0	0.0	0.0	less than 2000	28	6	2018
12383	2130	24.6	21.5	18.3	0.0	3.6	3.6	0.0	2000 to 10000	22	1	2012
11990	1005	25.4	17.7	10.0	0.0	0.0	0.0	0.0	less than 2000	24	11	2014
13385	179	3.3	1.2	-1.0	0.0	0.0	0.0	0.0	less than 2000	25	11	2010
13862	98	-6.3	-11.0	-15.7	10.0	0.0	0.0	0.0	less than 2000	23	12	2015
11731	1793	26.2	17.6	8.9	0.0	0.0	0.0	0.0	less than 2000	17	11	2014
10224	335	8.8	4.9	1.0	0.0	13.4	13.4	0.0	less than 2000	24	6	2015
16840	106	-5.5	-7.5	-9.5	3.0	0.0	0.0	0.0	less than 2000	13	5	2016
22067	2687	26.0	21.8	17.5	0.0	1.4	1.4	0.0	2000 to 10000	8	9	2018
7629	0	2.2	-3.0	-8.1	20.0	0.0	0.0	0.0	less than 2000	2	4	2016
607	733	27.3	21.4	15.4	0.0	13.8	13.8	0.0	less than 2000	2	2	2011
23012	112	-5.5	-9.5	-13.5	2.0	0.4	0.0	1.0	less than 2000	19	3	2016
17151	12	-5.5	-15.3	-25.0	26.0	0.0	0.0	0.0	less than 2000	1	3	2016
8864	2390	23.1	17.9	12.6	0.0	0.0	0.0	0.0	2000 to 10000	22	1	2016
15121	3619	23.0	18.8	14.5	0.0	0.0	0.0	0.0	2000 to 10000	24	2	2017
5605	2555	28.0	24.0	20.0	0.0	21.0	21.0	0.0	2000 to 10000	14	10	2014
17971	128	5.0	3.0	1.0	18.0	4.6	2.4	2.0	less than 2000	4	8	2011
6121	1626	20.5	17.5	14.5	0.0	0.9	0.9	0.0	less than 2000	16	4	2017
11841	900	20.0	17.7	15.3	0.0	3.6	3.6	0.0	less than 2000	12	10	2015
18371	2	4.5	-0.5	-5.5	22.0	0.0	0.0	0.0	less than 2000	29	10	2016
4981	24	0.3	-1.6	-3.5	32.0	2.0	0.0	1.8	less than 2000	8	3	2015
20788	115	-15.0	-17.0	-19.0	16.0	0.0	0.0	0.0	less than 2000	10	9	2018
4534	71	2.0	-3.8	-9.5	0.0	0.0	0.0	0.0	less than 2000	6	8	2015
20944	119	3.0	-1.5	-6.0	12.0	4.8	4.8	0.0	less than 2000	30	12	2015
4821	9	0.5	-7.8	-16.1	35.0	3.0	3.0	0.0	less than 2000	28	9	2014
8718	809	29.5	22.1	14.6	0.0	2.6	2.6	0.0	less than 2000	5	11	2017
13239	650	7.6	3.2	-1.3	0.0	0.0	0.0	0.0	less than 2000	14	2	2017
1458	1541	30.4	24.7	19.0	0.0	0.8	0.8	0.0	less than 2000	2	10	2013
13681	18	-14.7	-17.6	-20.4	17.0	0.0	0.0	0.0	less than 2000	20	11	2018
18984	1165	16.0	14.8	13.5	0.0	16.4	16.4	0.0	less than 2000	30	9	2014
4207	454	13.0	5.8	-1.5	0.0	0.0	0.0	0.0	less than 2000	28	3	2017
8384	560	13.0	7.2	1.4	0.0	2.3	2.3	0.0	less than 2000	17	4	2015
16444	228	10.0	9.5	9.0	0.0	20.4	20.4	0.0	less than 2000	24	12	2011
2109	996	16.5	8.6	0.7	0.0	0.0	0.0	0.0	less than 2000	30	5	2015
9499	909	23.0	16.1	9.2	0.0	0.0	0.0	0.0	less than 2000	7	1	2012
13068	264	12.2	4.3	-3.6	0.0	0.0	0.0	0.0	less than 2000	29	12	2015
